infinitive,tu,usted,ustedes
asociar,asocia,asocie,asocien
aspirar,aspira,aspire,aspiren
asustarse,asústate,asústese,asústense
atacar,ataca,ataque,ataquen
atender,atiende,atienda,atiendan
atraer,atrae,atraiga,atraigan
atravesar,atraviesa,atraviese,atraviesen
atreverse,atrévete,atrévase,atrévanse
aumentar,aumenta,aumente,aumenten
burlarse,búrlate,búrlese,búrlense
avanzar,avanza,avance,avancen
averiguar,averigua,averigüe,averigüen
avisar,avisa,avise,avisen
ayudar,ayuda,ayude,ayuden
bajar,baja,baje,bajen
bañar,baña,bañe,bañen
bañarse,báñate,báñese,báñense
barrer,barre,barra,barran
castigar,castiga,castigue,castiguen
batir,bate,bata,batan
bautizar,bautiza,bautice,bauticen
beber,bebe,beba,beban
bendecir,bendice,bendiga,bendigan
bordar,borda,borde,borden
borrar,borra,borre,borren
brillar,brilla,brille,brillen
brindar,brinda,brinde,brinden
broncearse,broncéate,broncéese,broncéense
bucear,bucea,bucee,buceen
burlar,burla,burle,burlen
buscar,busca,busque,busquen
caber,cabe,quepa,quepan
caer,cae,caiga,caigan
calcular,calcula,calcule,calculen
calentarse,caliéntate,caliéntese,caliéntense
callarse,cállate,cállese,cállense
calmarse,cálmate,cálmese,cálmense
caminar,camina,camine,caminen
cancelar,cancela,cancele,cancelen
cansarse,cánsate,cánsese,cánsense
caracterizar,caracteriza,caracterice,caractericen
cargar,carga,cargue,carguen
casarse,cásate,cásese,cásense
causar,causa,cause,causen
cazar,caza,cace,cacen
celebrar,celebra,celebre,celebren
cenar,cena,cene,cenen
censurar,censura,censure,censuren
cepillar,cepilla,cepille,cepillen
cerrar,cierra,cierre,cierren
cesar,cesa,cese,cesen
charlar,charla,charle,charlen
chismear,chismea,chismee,chismeen
chocar,choca,choque,choquen
civilizar,civiliza,civilice,civilicen
clarificar,clarifica,clarifique,clarifiquen
clasificar,clasifica,clasifique,clasifiquen
cobrar,cobra,cobre,cobren
cocinar,cocina,cocine,cocinen
coger,coge,coja,cojan
colgar,cuelga,cuelgue,cuelguen
colocar,coloca,coloque,coloquen
colonizar,coloniza,colonice,colonicen
combatir,combate,combata,combatan
comenzar,comienza,comience,comiencen
comer,come,coma,coman
competir,compite,compita,compitan
componer,compón,componga,compongan
comprar,compra,compre,compren
comprender,comprende,comprenda,comprendan
comunicar,comunica,comunique,comuniquen
comunicarse,comunícate,comuníquese,comuníquense
condenar,condena,condene,condenen
conducir,conduce,conduzca,conduzcan
confesar,confiesa,confiese,confiesen
confiar,confía,confíe,confíen
confirmar,confirma,confirme,confirmen
compartir,comparte,comparta,compartan
confiscar,confisca,confisque,confisquen
conjugar,conjuga,conjugue,conjuguen
conocer,conoce,conozca,conozcan
conquistar,conquista,conquiste,conquisten
conseguir,consigue,consiga,consigan
consentir,consiente,consienta,consientan
conservar,conserva,conserve,conserven
consistir,consiste,consista,consistan
constituir,constituye,constituya,constituyan
construir,construye,construya,construyan
consumir,consume,consuma,consuman
contaminar,contamina,contamine,contaminen
contar,cuenta,cuente,cuenten
contener,contén,contenga,contengan
contestar,contesta,conteste,contesten
continuar,continúa,continúe,continúen
contribuir,contribuye,contribuya,contribuyan
controlar,controla,controle,controlen
convencer,convence,convenza,convenzan
convenir,convén,convenga,convengan
conversar,conversa,converse,conversen
convertir,convierte,convierta,conviertan
convidar,convida,convide,conviden
copiar,copia,copie,copien
corregir,corrige,corrija,corrijan
correr,corre,corra,corran
cortar,corta,corte,corten
coser,cose,cosa,cosan
costar,cuesta,cueste,cuesten
crear,crea,cree,creen
crecer,crece,crezca,crezcan
creer,cree,crea,crean
criar,cría,críe,críen
criarse,críate,críese,críense
criticar,critica,critique,critiquen
crucificar,crucifica,crucifique,crucifiquen
cruzar,cruza,cruce,crucen
cubrir,cubre,cubra,cubran
cuidar,cuida,cuide,cuiden
culpar,culpa,culpe,culpen
cultivar,cultiva,cultive,cultiven
cumplir,cumple,cumpla,cumplan
curar,cura,cure,curen
dar,da,dé,den
deber,debe,deba,deban
decidir,decide,decida,decidan
decidirse,decídete,decídase,decídanse
decir,di,diga,digan
declarar,declara,declare,declaren
decorar,decora,decore,decoren
dedicar,dedica,dedique,dediquen
dedicarse,dedícate,dedíquese,dedíquense
defender,defiende,defienda,defiendan
dejar,deja,deje,dejen
demostrar,demuestra,demuestre,demuestren
depender,depende,dependa,dependan
depositar,deposita,deposite,depositen
deprimir,deprime,deprima,depriman
derretir,derrite,derrita,derritan
desagradar,desagrada,desagrade,desagraden
desagradecer,desagradece,desagradezca,desagradezcan
desaparecer,desaparece,desaparezca,desaparezcan
desayunar,desayuna,desayune,desayunen
descansar,descansa,descanse,descansen
descender,desciende,descienda,desciendan
describir,describe,describa,describan
descubrir,descubre,descubra,descubran
desarrollar,desarrolla,desarrolle,desarrollen
desarrollarse,desarróllate,desarróllese,desarróllense
desear,desea,desee,deseen
deshacer,deshaz,deshaga,deshagan
despedir,despide,despida,despidan
despertar,despierta,despierte,despierten
despertarse,despiértate,despiértese,despiértense
destruir,destruye,destruya,destruyan
detener,detén,detenga,detengan
detenerse,detente,deténgase,deténganse
detestar,detesta,deteste,detesten
devolver,devuelve,devuelva,devuelvan
devorar,devora,devore,devoren
dibujar,dibuja,dibuje,dibujen
dirigir,dirige,dirija,dirijan
diseñar,diseña,diseñe,diseñen
disfrutar,disfruta,disfrute,disfruten
disgustar,disgusta,disguste,disgusten
disminuir,disminuye,disminuya,disminuyan
distinguir,distingue,distinga,distingan
distribuir,distribuye,distribuya,distribuyan
